#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
1825424.591627,1580,26235.733592
963262.552367,1580,26255.577208
1148056.553302,1580,26274.322998
1058981.064358,1580,26294.726375
1264657.706731,1580,26314.716119
1198444.960187,1580,26333.745229
1483974.001651,1580,26353.488248
2874461.339461,1580,26623.128366
627275.396874,1580,26642.316629
937951.428879,1580,26663.453835
912334.846075,1580,26683.388838
1523312.457036,1580,26702.292042
1104209.611964,1580,26722.922573
462809.861262,1580,26741.878231
1169927.326624,1580,26760.513375
923300.990456,1580,26781.070177
1425563.343373,1580,26800.714359
2495429.368745,1580,26819.915524
1510385.816908,1580,26841.252883
2038400.54765,1580,26860.390437
2456796.047969,1580,26879.352765
3289477.42312,1580,26900.399422
500713.285389,1580,26920.016464
1800758.355452,1580,26939.246154
1540798.622129,1580,26959.568889
1082429.317899,1580,26979.699422
1403941.114829,1580,26999.395824
1480561.398365,1580,27019.129318
4071475.915375,1580,27037.642524
2004110.062741,1580,27057.590555
1971331.143322,1580,27077.230722
2508936.319325,1580,27096.323332
1010014.393906,1580,27116.819123
1852840.930271,1580,27136.756248
240517.130625,1580,27155.865701
1201994.580871,1580,27176.151284
636035.664635,1580,27196.084606
1210097.162292,1580,27215.096149
512212.164299,1580,27235.914037
446180.781302,1580,27255.37995
1362711.144813,1580,27274.107919
1351898.654151,1580,27294.025611
469417.809721,1580,27313.849811
818854.764602,1580,27332.868317
709731.089469,1580,27353.597544
706779.872933,1580,27373.704083
1650507.743519,1580,27392.167654
963778.326107,1580,27412.953751
642575.895528,1580,27432.051989
960942.642843,1580,27451.288175
802141.876139,1580,27472.706747
454987.36032,1580,27493.160886
5328.709248,1378,4618.762177
358807.593833,1378,4624.437616
362626.878173,1378,4629.861737
341994.079917,1378,4635.246872
342514.645464,1378,4640.21529
338589.333885,1378,4645.456321
361945.824036,1378,4650.704391
371089.72959,1378,4655.854408
374127.815225,1378,4661.347576
365328.709248,1378,4666.283985
358807.593833,1378,4671.445851
362626.878173,1378,4676.805337
341994.079917,1378,4681.88047
342514.645464,1378,4687.485263
338589.333885,1378,4692.902873
361945.824036,1378,4698.003276
371089.72959,1378,4703.125685
374127.815225,1378,4708.348541
365328.709248,1378,4713.719079
358807.593833,1378,4718.865019
362626.878173,1378,4724.144809
341994.079917,1378,4729.307392
342514.645464,1378,4734.622637
361945.824036,1378,4743.968812
371089.72959,1378,4750.180113
374127.815225,1378,4756.897363
365328.709248,1378,4763.186075
358807.593833,1378,4769.763759
362626.878173,1378,4776.057545
341994.079917,1378,4782.196502
342514.645464,1378,4788.513846
338589.333885,1378,4794.756296
361945.824036,1378,4801.10698
371089.72959,1378,4807.241859
374127.815225,1378,4813.486141
365328.709248,1378,4819.839139
358807.593833,1378,4826.189216
362626.878173,1378,4832.391205
341994.079917,1378,4838.705951
342514.645464,1378,4845.098082
338589.333885,1378,4851.610805
361945.824036,1378,4857.750512
371089.72959,1378,4864.037626
374127.815225,1378,4870.38054
365328.709248,1378,4876.998412
358807.593833,1378,4884.878004
362626.878173,1378,4893.080954
341994.079917,1378,4900.008106
342514.645464,1378,4907.921631
338589.333885,1378,4915.011976
361945.824036,1378,4922.136924
371089.72959,1378,4929.594512
374127.815225,1378,4936.878095
365328.709248,1378,4944.431005
358807.593833,1378,4950.754275
362626.878173,1378,4957.441986
341994.079917,1378,4966.397624
342514.645464,1378,4974.523451
338589.333885,1378,4980.495304
361945.824036,1378,4986.845461
371089.72959,1378,4993.229608
374127.815225,1378,5000.264416
365328.709248,1378,5006.401328
358807.593833,1378,5012.64709
362626.878173,1378,5019.071928
341994.079917,1378,5025.897766
342514.645464,1378,5032.445441
338589.333885,1378,5038.944045
361945.824036,1378,5045.26844
371089.72959,1378,5051.760786
374127.815225,1378,5058.233749
365328.709248,1378,5064.618203
358807.593833,1378,5071.046349
362626.878173,1378,5077.584977
341994.079917,1378,5084.382062
342514.645464,1378,5090.407926
338589.333885,1378,5096.663112
361945.824036,1378,5103.096929
371089.72959,1378,5109.782119
374127.815225,1378,5115.860042
365328.709248,1378,5122.01748
358807.593833,1378,5128.440379
362626.878173,1378,5134.981639
341994.079917,1378,5140.983983
342514.645464,1378,5147.154926
338589.333885,1378,5153.495594
361945.824036,1378,5160.476855
371089.72959,1378,5166.949193
374127.815225,1378,5172.891641
365328.709248,1378,5179.202985
358807.593833,1378,5185.645956
362626.878173,1378,5192.137791
341994.079917,1378,5198.175285
342514.645464,1378,5204.496146
338589.333885,1378,5210.872609
