date,open,high,low,close,volume,volumeNotional,tradesDone
2020-07-02T00:00:00+00:00,9233.158325998604,9246.41554184763,9216.082342398016,9226.910801527945,1171.2547513900001,10807063.11694132,16538.0
2020-07-02T01:00:00+00:00,9226.95975329474,9249.357770686715,9219.75873471435,9249.357770686715,983.1865123600002,9093843.808131337,13292.0
2020-07-02T02:00:00+00:00,9248.796062127829,9262.501033273038,9239.049668266907,9239.434020629022,1165.77177527,10771071.400718728,13341.0
2020-07-02T03:00:00+00:00,9240.152910567467,9251.656527059964,9231.966626654183,9238.182072317637,811.3144359799999,7495070.47748293,11537.0
2020-07-02T04:00:00+00:00,9238.107716761568,9245.074458557065,9226.834501291896,9237.481134752969,999.2316991199997,9230383.969868151,12564.0
2020-07-02T05:00:00+00:00,9237.26041050359,9260.328386668112,9203.092847620474,9209.838834743581,1914.0803725600003,17628371.748023555,17985.0
2020-07-02T06:00:00+00:00,9209.831947948927,9215.08141010398,9167.062097025613,9204.396558266031,3037.9733422900013,27962711.37587804,22925.0
2020-07-02T07:00:00+00:00,9204.553876276274,9218.724101583028,9197.724035489757,9208.113920123886,1325.4264733599998,12204677.959446926,14398.0
2020-07-02T08:00:00+00:00,9208.389598846015,9217.079206889552,9170.011258381486,9208.657653420356,2196.44998465,20226355.961502243,19440.0
2020-07-02T09:00:00+00:00,9208.67556012802,9219.78834251204,9194.28815029788,9210.171924335706,1484.4896293599995,13672404.706298985,15225.0
2020-07-02T10:00:00+00:00,9210.250197522693,9213.694145894435,9184.382029041037,9206.262046639706,1593.0017980999999,14665591.994076835,17319.0
2020-07-02T11:00:00+00:00,9206.823228197652,9206.823488034805,9173.427704263666,9197.105521792111,1740.51422617,16007693.000265831,17509.0
2020-07-02T12:00:00+00:00,9196.672742556091,9244.238905459324,9180.245800492912,9241.726953675701,2402.5006218400003,22203254.753081363,22481.0
2020-07-02T13:00:00+00:00,9242.472723572537,9257.858384732497,9222.30332283453,9247.512962370001,2473.4269112900006,22873047.423629075,22516.0
2020-07-02T14:00:00+00:00,9247.511404799341,9255.630582724847,9189.672171902004,9194.966134829881,2119.03863089,19484488.44942983,25023.0
2020-07-02T15:00:00+00:00,9195.604788174885,9195.60811086406,9021.61010594055,9047.456582110477,10069.569206229991,91103990.1939225,61690.0
2020-07-02T16:00:00+00:00,9047.926896365965,9070.481151398079,8939.611642280524,9042.770189651766,7336.052162979994,66338233.809125856,53808.0
